#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
1373,dart_2024-06-30_role-DS837200f,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200f,link:definitionLink ,"[DS837200f] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1374,dart_2024-06-30_role-DS837200g,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200g,link:definitionLink ,"[DS837200g] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1375,dart_2024-06-30_role-DS837200h,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200h,link:definitionLink ,"[DS837200h] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1376,dart_2024-06-30_role-DS837200i,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200i,link:definitionLink ,"[DS837200i] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1377,dart_2024-06-30_role-DS837200j,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200j,link:definitionLink ,"[DS837200j] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1378,dart_2024-06-30_role-DS837200k,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200k,link:definitionLink ,"[DS837200k] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1379,dart_2024-06-30_role-DS837200l,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200l,link:definitionLink ,"[DS837200l] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1380,dart_2024-06-30_role-DS837200m,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200m,link:definitionLink ,"[DS837200m] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1381,dart_2024-06-30_role-DS837200n,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200n,link:definitionLink ,"[DS837200n] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1382,dart_2024-06-30_role-DS837200o,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200o,link:definitionLink ,"[DS837200o] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1383,dart_2024-06-30_role-DS837200p,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200p,link:definitionLink ,"[DS837200p] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1384,dart_2024-06-30_role-DS837200q,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200q,link:definitionLink ,"[DS837200q] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1385,dart_2024-06-30_role-DS837200r,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200r,link:definitionLink ,"[DS837200r] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1386,dart_2024-06-30_role-DS837200s,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200s,link:definitionLink ,"[DS837200s] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1387,dart_2024-06-30_role-DS837200t,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200t,link:definitionLink ,"[DS837200t] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1388,dart_2024-06-30_role-DS837200u,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200u,link:definitionLink ,"[DS837200u] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1389,dart_2024-06-30_role-DS837200v,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200v,link:definitionLink ,"[DS837200v] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1390,dart_2024-06-30_role-DS837200w,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837200w,link:definitionLink ,"[DS837200w] 주석 - 금융상품/공정가치, 증권 - 연결 | Notes - Fair value and book value of assets and liabilities, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1391,dart_2024-06-30_role-DS837300,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837300,link:presentationLink link:definitionLink ,"[DS837300] 주석 - 금융상품/범주별 금융상품, 증권 - 연결 | Notes - Financial instruments by category, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1392,dart_2024-06-30_role-DS837300a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837300a,link:definitionLink ,"[DS837300a] 주석 - 금융상품/범주별 금융상품, 증권 - 연결 | Notes - Financial instruments by category, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1393,dart_2024-06-30_role-DS837300b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837300b,link:definitionLink ,"[DS837300b] 주석 - 금융상품/범주별 금융상품, 증권 - 연결 | Notes - Financial instruments by category, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1394,dart_2024-06-30_role-DS837300c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS837300c,link:definitionLink ,"[DS837300c] 주석 - 금융상품/범주별 금융상품, 증권 - 연결 | Notes - Financial instruments by category, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1395,dart_2024-06-30_role-DX808000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX808000,link:presentationLink link:definitionLink ,"[DX808000] 주석 - 기타포괄손익-공정가치측정금융자산, 기타 - 연결 | Notes - Financial assets at fair value through other comprehensive income, Others - Consolidated",dart_all_2024-06-30.xsd,
1396,dart_2024-06-30_role-DX808000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX808000a,link:definitionLink ,"[DX808000a] 주석 - 기타포괄손익-공정가치측정금융자산, 기타 - 연결 | Notes - Financial assets at fair value through other comprehensive income, Others - Consolidated",dart_all_2024-06-30.xsd,
1397,dart_2024-06-30_role-DX808000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX808000b,link:definitionLink ,"[DX808000b] 주석 - 기타포괄손익-공정가치측정금융자산, 기타 - 연결 | Notes - Financial assets at fair value through other comprehensive income, Others - Consolidated",dart_all_2024-06-30.xsd,
1398,dart_2024-06-30_role-DX809000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX809000,link:presentationLink link:definitionLink ,"[DX809000] 주석 - 상각후원가측정금융자산, 기타 - 연결 | Notes - Financial assets at amortised cost, Others - Consolidated",dart_all_2024-06-30.xsd,
1399,dart_2024-06-30_role-DX809000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX809000a,link:definitionLink ,"[DX809000a] 주석 - 상각후원가측정금융자산, 기타 - 연결 | Notes - Financial assets at amortised cost, Others - Consolidated",dart_all_2024-06-30.xsd,
1400,dart_2024-06-30_role-DX809000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX809000b,link:definitionLink ,"[DX809000b] 주석 - 상각후원가측정금융자산, 기타 - 연결 | Notes - Financial assets at amortised cost, Others - Consolidated",dart_all_2024-06-30.xsd,
1401,dart_2024-06-30_role-DX809000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX809000c,link:definitionLink ,"[DX809000c] 주석 - 상각후원가측정금융자산, 기타 - 연결 | Notes - Financial assets at amortised cost, Others - Consolidated",dart_all_2024-06-30.xsd,
1402,dart_2024-06-30_role-DX835100,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100,link:presentationLink link:definitionLink ,"[DX835100] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1403,dart_2024-06-30_role-DX835100a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100a,link:definitionLink ,"[DX835100a] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1404,dart_2024-06-30_role-DX835100b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100b,link:definitionLink ,"[DX835100b] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1405,dart_2024-06-30_role-DX835100c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100c,link:definitionLink ,"[DX835100c] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1406,dart_2024-06-30_role-DX835100d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100d,link:definitionLink ,"[DX835100d] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1407,dart_2024-06-30_role-DX835100e,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100e,link:definitionLink ,"[DX835100e] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1408,dart_2024-06-30_role-DX835100f,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100f,link:definitionLink ,"[DX835100f] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1409,dart_2024-06-30_role-DX835100g,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100g,link:definitionLink ,"[DX835100g] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1410,dart_2024-06-30_role-DX835100h,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100h,link:definitionLink ,"[DX835100h] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1411,dart_2024-06-30_role-DX835100i,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100i,link:definitionLink ,"[DX835100i] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1412,dart_2024-06-30_role-DX835100j,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100j,link:definitionLink ,"[DX835100j] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1413,dart_2024-06-30_role-DX835100k,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100k,link:definitionLink ,"[DX835100k] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1414,dart_2024-06-30_role-DX835100l,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100l,link:definitionLink ,"[DX835100l] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1415,dart_2024-06-30_role-DX835100m,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100m,link:definitionLink ,"[DX835100m] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1416,dart_2024-06-30_role-DX835100n,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100n,link:definitionLink ,"[DX835100n] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1417,dart_2024-06-30_role-DX835100o,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835100o,link:definitionLink ,"[DX835100o] 주석 - 금융상품/위험관리, 기타 - 연결 | Notes - Credit risk management, Others - Consolidated",dart_all_2024-06-30.xsd,
1418,dart_2024-06-30_role-DX835200,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200,link:presentationLink link:definitionLink ,"[DX835200] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1419,dart_2024-06-30_role-DX835200a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200a,link:definitionLink ,"[DX835200a] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1420,dart_2024-06-30_role-DX835200b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200b,link:definitionLink ,"[DX835200b] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1421,dart_2024-06-30_role-DX835200c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200c,link:definitionLink ,"[DX835200c] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1422,dart_2024-06-30_role-DX835200d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200d,link:definitionLink ,"[DX835200d] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1423,dart_2024-06-30_role-DX835200e,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200e,link:definitionLink ,"[DX835200e] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1424,dart_2024-06-30_role-DX835200f,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200f,link:definitionLink ,"[DX835200f] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1425,dart_2024-06-30_role-DX835200g,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200g,link:definitionLink ,"[DX835200g] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1426,dart_2024-06-30_role-DX835200h,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200h,link:definitionLink ,"[DX835200h] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1427,dart_2024-06-30_role-DX835200i,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200i,link:definitionLink ,"[DX835200i] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1428,dart_2024-06-30_role-DX835200j,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200j,link:definitionLink ,"[DX835200j] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1429,dart_2024-06-30_role-DX835200k,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200k,link:definitionLink ,"[DX835200k] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1430,dart_2024-06-30_role-DX835200l,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200l,link:definitionLink ,"[DX835200l] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1431,dart_2024-06-30_role-DX835200m,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200m,link:definitionLink ,"[DX835200m] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1432,dart_2024-06-30_role-DX835200n,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200n,link:definitionLink ,"[DX835200n] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1433,dart_2024-06-30_role-DX835200o,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200o,link:definitionLink ,"[DX835200o] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1434,dart_2024-06-30_role-DX835200p,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200p,link:definitionLink ,"[DX835200p] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1435,dart_2024-06-30_role-DX835200q,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200q,link:definitionLink ,"[DX835200q] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1436,dart_2024-06-30_role-DX835200r,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200r,link:definitionLink ,"[DX835200r] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1437,dart_2024-06-30_role-DX835200s,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200s,link:definitionLink ,"[DX835200s] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1438,dart_2024-06-30_role-DX835200t,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200t,link:definitionLink ,"[DX835200t] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1439,dart_2024-06-30_role-DX835200u,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200u,link:definitionLink ,"[DX835200u] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1440,dart_2024-06-30_role-DX835200v,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200v,link:definitionLink ,"[DX835200v] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1441,dart_2024-06-30_role-DX835200w,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835200w,link:definitionLink ,"[DX835200w] 주석 - 금융상품/공정가치, 기타 - 연결 | Notes - Fair value and book value of assets and liabilities, Others - Consolidated",dart_all_2024-06-30.xsd,
1442,dart_2024-06-30_role-DX835300,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835300,link:presentationLink link:definitionLink ,"[DX835300] 주석 - 금융상품/범주별 금융상품, 기타 - 연결 | Notes - Financial instruments by category, Others - Consolidated",dart_all_2024-06-30.xsd,
1443,dart_2024-06-30_role-DX835300a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835300a,link:definitionLink ,"[DX835300a] 주석 - 금융상품/범주별 금융상품, 기타 - 연결 | Notes - Financial instruments by category, Others - Consolidated",dart_all_2024-06-30.xsd,
1444,dart_2024-06-30_role-DX835300b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835300b,link:definitionLink ,"[DX835300b] 주석 - 금융상품/범주별 금융상품, 기타 - 연결 | Notes - Financial instruments by category, Others - Consolidated",dart_all_2024-06-30.xsd,
1445,dart_2024-06-30_role-DX835300c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX835300c,link:definitionLink ,"[DX835300c] 주석 - 금융상품/범주별 금융상품, 기타 - 연결 | Notes - Financial instruments by category, Others - Consolidated",dart_all_2024-06-30.xsd,
1446,dart_2024-06-30_role-DB803000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB803000a,link:definitionLink ,"[DB803000a] 주석 - 중요한 판단과 추정불확실성의 주요 원천, 은행 - 연결 | Notes - Significant judgements and sources of estimation uncertainty , Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
1447,dart_2024-06-30_role-DS803000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS803000a,link:definitionLink ,"[DS803000a] 주석 - 중요한 판단과 추정불확실성의 주요 원천, 증권 - 연결 | Notes - Significant judgements and sources of estimation uncertainty , Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1448,dart_2024-06-30_role-DX803000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX803000a,link:definitionLink ,"[DX803000a] 주석 - 중요한 판단과 추정불확실성의 주요 원천, 기타 - 연결 | Notes - Significant judgements and sources of estimation uncertainty , Others - Consolidated",dart_all_2024-06-30.xsd,
1449,dart_2024-06-30_role-DB814200a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB814200a,link:definitionLink ,"[DB814200a] 주석 - 리스/리스부채, 은행 - 연결 | Notes - Lease liabilites, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
1450,dart_2024-06-30_role-DS814200a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS814200a,link:definitionLink ,"[DS814200a] 주석 - 리스/리스부채, 증권 - 연결 | Notes - Lease liabilites, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1451,dart_2024-06-30_role-DX814200a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX814200a,link:definitionLink ,"[DX814200a] 주석 - 리스/리스부채, 기타 - 연결 | Notes - Lease liabilites, Others - Consolidated",dart_all_2024-06-30.xsd,
1452,dart_2024-06-30_role-DB846100,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB846100,link:presentationLink link:definitionLink ,"[DB846100] 주석 - 배당금, 은행 - 연결 | Notes - Dividends, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
1453,dart_2024-06-30_role-DS847100,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS847100,link:presentationLink link:definitionLink ,"[DS847100] 주석 - 배당금, 증권 - 연결 | Notes - Dividends, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1454,dart_2024-06-30_role-DX846100,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX846100,link:presentationLink link:definitionLink ,"[DX846100] 주석 - 배당금, 기타 - 연결 | Notes - Dividends, Others - Consolidated",dart_all_2024-06-30.xsd,
1455,dart_2024-06-30_role-DB840000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB840000a,link:definitionLink ,"[DB840000a] 주석 - 우발부채, 우발자산 및 약정사항, 은행 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
1456,dart_2024-06-30_role-DB840000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB840000b,link:definitionLink ,"[DB840000b] 주석 - 우발부채, 우발자산 및 약정사항, 은행 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
1457,dart_2024-06-30_role-DB840000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB840000c,link:definitionLink ,"[DB840000c] 주석 - 우발부채, 우발자산 및 약정사항, 은행 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
1458,dart_2024-06-30_role-DS842000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS842000a,link:definitionLink ,"[DS842000a] 주석 - 우발부채, 우발자산 및 약정사항, 증권 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1459,dart_2024-06-30_role-DS842000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS842000b,link:definitionLink ,"[DS842000b] 주석 - 우발부채, 우발자산 및 약정사항, 증권 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1460,dart_2024-06-30_role-DS842000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS842000c,link:definitionLink ,"[DS842000c] 주석 - 우발부채, 우발자산 및 약정사항, 증권 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
1461,dart_2024-06-30_role-DX840000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX840000a,link:definitionLink ,"[DX840000a] 주석 - 우발부채, 우발자산 및 약정사항, 기타 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Others - Consolidated",dart_all_2024-06-30.xsd,
1462,dart_2024-06-30_role-DX840000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX840000b,link:definitionLink ,"[DX840000b] 주석 - 우발부채, 우발자산 및 약정사항, 기타 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Others - Consolidated",dart_all_2024-06-30.xsd,
1463,dart_2024-06-30_role-DX840000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX840000c,link:definitionLink ,"[DX840000c] 주석 - 우발부채, 우발자산 및 약정사항, 기타 - 연결 | Notes - Contingent liabilities, contingent asset and commitments, Others - Consolidated",dart_all_2024-06-30.xsd,
1464,dart_2024-06-30_role-DI809000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI809000,link:presentationLink link:definitionLink ,"[DI809000] 주석 - 기타포괄손익-공정가치측정금융자산(IFRS9), 보험 - 연결 | Notes - Financial assets at fair value through other comprehensive income(IFRS9), Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
